===================================================================
Database Table Analysis Report
Generated: Sat Nov  8 09:13:21 PST 2025
Total databases: 10
Total tables: 646
===================================================================

Database                       | Table                          | Size         | Rows         | Engine  
-------------------------------+--------------------------------+--------------+--------------+---------
postmill_db                    | comments                       | 1.23GB       | 1,921,431    | postgres
onestopshop_db                 | catalog_product_entity_text    | 504.8MB      | 116,550      | mysql   
postmill_db                    | users                          | 196.0MB      | 661,782      | postgres
postmill_db                    | submissions                    | 152.5MB      | 104,785      | postgres
onestopshop_db                 | review_detail                  | 87.1MB       | 304,451      | mysql   
vwa-classifieds_db             | oc_t_item_description          | 77.7MB       | 84,152       | mysql   
onestopshop_db                 | catalog_product_entity_varchar | 76.1MB       | 1,175,521    | mysql   
onestopshop_db                 | catalog_product_option_type... | 40.3MB       | 785,160      | mysql   
onestopshop_db                 | catalog_product_index_price    | 32.6MB       | 403,184      | mysql   
onestopshop_db                 | catalog_product_index_price... | 32.6MB       | 403,184      | mysql   
onestopshop_db                 | catalog_product_entity_int     | 27.8MB       | 441,364      | mysql   
onestopshop_db                 | catalog_product_entity_medi... | 26.8MB       | 376,818      | mysql   
onestopshop_db                 | url_rewrite                    | 25.1MB       | 103,113      | mysql   
onestopshop_db                 | review_store                   | 22.5MB       | 634,655      | mysql   
onestopshop_db                 | catalog_category_product       | 21.8MB       | 435,379      | mysql   
onestopshop_db                 | rating_option_vote             | 19.8MB       | 302,498      | mysql   
onestopshop_db                 | catalog_category_product_in... | 18.8MB       | 409,968      | mysql   
onestopshop_db                 | catalog_category_product_in... | 18.8MB       | 409,968      | mysql   
onestopshop_db                 | review                         | 18.1MB       | 315,616      | mysql   
onestopshop_db                 | catalog_product_option_type... | 17.3MB       | 424,424      | mysql   
onestopshop_db                 | catalog_product_option_type... | 15.0MB       | 419,867      | mysql   
vwa-classifieds_db             | oc_t_item                      | 13.6MB       | 83,655       | mysql   
postmill_db                    | images                         | 10.7MB       | 31,467       | postgres
onestopshop_db                 | cataloginventory_stock_item    | 9.8MB        | 103,840      | mysql   
vwa-classifieds_db             | oc_t_city                      | 9.6MB        | 38,725       | mysql   
onestopshop_db                 | inventory_source_item          | 9.3MB        | 107,740      | mysql   
onestopshop_db                 | catalog_product_entity         | 9.3MB        | 103,925      | mysql   
onestopshop_db                 | review_entity_summary          | 8.5MB        | 63,281       | mysql   
vwa-classifieds_db             | oc_t_item_location             | 8.3MB        | 83,757       | mysql   
onestopshop_db                 | catalog_product_option_title   | 8.3MB        | 136,218      | mysql   
onestopshop_db                 | cataloginventory_stock_status  | 8.0MB        | 103,761      | mysql   
onestopshop_db                 | cataloginventory_stock_stat... | 8.0MB        | 103,716      | mysql   
onestopshop_db                 | catalog_product_index_eav      | 8.0MB        | 103,739      | mysql   
onestopshop_db                 | catalog_product_index_eav_r... | 8.0MB        | 103,761      | mysql   
onestopshop_db                 | catalog_product_entity_decimal | 8.0MB        | 103,646      | mysql   
onestopshop_db                 | catalog_product_entity_medi... | 8.0MB        | 194,030      | mysql   
onestopshop_db                 | catalog_product_entity_medi... | 7.5MB        | 194,097      | mysql   
vwa-classifieds_db             | oc_t_item_stats                | 7.0MB        | 84,051       | mysql   
vwa-classifieds_db             | oc_t_item_resource             | 5.8MB        | 83,778       | mysql   
onestopshop_db                 | catalog_product_website        | 5.0MB        | 104,780      | mysql   
onestopshop_db                 | catalog_product_option         | 5.0MB        | 68,736       | mysql   
onestopshop_db                 | inventory_low_stock_notific... | 4.5MB        | 104,410      | mysql   
onestopshop_db                 | rating_option_vote_aggregated  | 3.3MB        | 31,722       | mysql   
vwa-classifieds_db             | oc_t_locations_tmp             | 1.5MB        | 30,649       | mysql   
vwa-classifieds_db             | oc_t_city_stats                | 528.0KB      | 9,520        | mysql   
onestopshop_db                 | sales_order_item               | 416.0KB      | 531          | mysql   
focalboard_db                  | blocks                         | 392.0KB      | 372          | postgres
focalboard_db                  | blocks_history                 | 360.0KB      | 372          | postgres
onestopshop_db                 | sales_order                    | 320.0KB      | 189          | mysql   
onestopshop_db                 | sales_order_grid               | 320.0KB      | 189          | mysql   
onestopshop_db                 | quote_item                     | 304.0KB      | 553          | mysql   
gitea_db                       | repository                     | 272.0KB      | 10           | postgres
onestopshop_db                 | sales_shipment_grid            | 240.0KB      | 0            | mysql   
onestopshop_db                 | sales_creditmemo_grid          | 240.0KB      | 0            | mysql   
onestopshop_db                 | quote_address                  | 240.0KB      | 522          | mysql   
onestopshop_db                 | sales_invoice_grid             | 224.0KB      | 0            | mysql   
miniflux_db                    | sessions                       | 216.0KB      | 232          | postgres
northwind_db                   | orders                         | 208.0KB      | 48           | mysql   
northwind_db                   | order_details                  | 192.0KB      | 58           | mysql   
stalwart_db                    | y                              | 192.0KB      | 820          | postgres
stalwart_db                    | m                              | 176.0KB      | 765          | postgres
onestopshop_db                 | sales_invoice                  | 160.0KB      | 0            | mysql   
